x[0] 		x[1] 		x[2] 		 Norma
0.086174 	0.111431 	0.009513 	0.004381
0.086174 	0.111429 	0.009504 	0.000851
0.086172 	0.111425 	0.009499 	0.001183
0.086152 	0.111409 	0.009505 	0.002616
0.086151 	0.111406 	0.009498 	0.000951
0.086121 	0.111375 	0.009482 	0.003515
0.086117 	0.111374 	0.009490 	0.000873
0.086111 	0.111370 	0.009494 	0.001369
0.086105 	0.111363 	0.009487 	0.001694
0.086100 	0.111360 	0.009491 	0.001162
0.086082 	0.111341 	0.009480 	0.002775
0.086078 	0.111339 	0.009486 	0.000937
0.086055 	0.111321 	0.009491 	0.002816
0.086054 	0.111318 	0.009485 	0.000934
0.086037 	0.111300 	0.009474 	0.002694
0.086033 	0.111298 	0.009479 	0.000942
0.086007 	0.111277 	0.009485 	0.003012
0.086006 	0.111274 	0.009478 	0.000920
0.085995 	0.111262 	0.009470 	0.002168
0.085991 	0.111260 	0.009475 	0.001038
0.085459 	0.110761 	0.009355 	0.014295
0.085451 	0.110762 	0.009384 	0.000825
0.085446 	0.110761 	0.009394 	0.000898
0.085441 	0.110757 	0.009398 	0.001328
0.085434 	0.110749 	0.009391 	0.001719
0.085430 	0.110746 	0.009396 	0.001132
0.085409 	0.110725 	0.009384 	0.002916
0.085405 	0.110723 	0.009390 	0.000915
